URL,Category
http://www.prodirectrunning.com/lists/mens+AC0-running+AC0-shoes.aspx,Mens Running
http://www.prodirectrunning.com/lists/womens+AC0-running+AC0-shoes.aspx,Mens Running
http://www.prodirectrunning.com/lists/juniors+AC0-running+AC0-shoes.aspx,Mens Running
http://www.prodirectrunning.com/lists/running+AC0-shoes.aspx,Running
